_date,total_views,unique_views
2022-06-29,3543,1082
2022-06-30,4127,1077
2022-07-01,3661,967
2022-07-02,1906,531
2022-07-03,2146,570
2022-07-04,3243,998
2022-07-05,3787,1129
2022-07-06,3584,1141
2022-07-07,3420,1106
2022-07-08,3296,941
2022-07-09,1647,522
2022-07-10,1811,544
2022-07-11,3349,1035
2022-07-12,4144,1082
2022-07-13,3928,1099
2022-07-14,4208,1084
2022-07-15,3339,933
2022-07-16,1847,557
2022-07-17,1690,567
2022-07-18,4324,1122
2022-07-19,3708,1096
2022-07-20,4066,1101
2022-07-21,3796,1113
2022-07-22,3047,946
2022-07-23,1691,486
2022-07-24,1843,607
2022-07-25,3402,1047
2022-07-26,3824,1130
2022-07-27,3051,1117
2022-07-28,2729,945
2022-07-29,2548,907
2022-07-30,1264,457
2022-07-31,1402,531
2022-08-01,2930,978
2022-08-02,2869,989
2022-08-03,2751,994
2022-08-04,2697,975
2022-08-05,2556,937
2022-08-06,1314,482
2022-08-07,1254,480
2022-08-08,2923,1042
2022-08-09,3048,1019
2022-08-10,2722,921
2022-08-11,2707,970
2022-08-12,2478,899
2022-08-13,1263,433
2022-08-14,1497,481
2022-08-15,2338,835
2022-08-16,2805,951
2022-08-17,2888,957
2022-08-18,2446,905
2022-08-19,2259,821
2022-08-20,1308,453
2022-08-21,1436,485
2022-08-22,2678,938
2022-08-23,2867,983
2022-08-24,2715,993
2022-08-25,2538,949
2022-08-26,2283,804
2022-08-27,1249,456
2022-08-28,1272,471
2022-08-29,2440,899
2022-08-30,2851,1006
2022-08-31,2638,986
2022-09-01,2576,956
2022-09-02,2149,833
2022-09-03,1189,477
2022-09-04,1043,503
2022-09-05,1932,882
2022-09-06,2425,941
2022-09-07,2482,986
2022-09-08,2631,943
2022-09-09,2268,836
2022-09-10,1188,442
2022-09-11,1415,478
